id,code
600,38184
601,38186
602,38187
603,38188
604,38190
605,38193
606,38194
607,38197
608,38201
609,38220
610,38221
611,38222
612,38223
613,38224
614,38225
615,38226
616,38229
617,38230
618,38231
619,38232
620,38233
621,38235
622,38236
623,38237
624,38238
625,38240
626,38241
627,38242
628,38251
629,38253
630,38254
631,38255
632,38256
633,38257
634,38258
635,38259
636,38260
637,38261
638,38271
639,38281
640,38301
641,38302
642,38303
643,38305
644,38308
645,38310
646,38311
647,38313
648,38314
649,38315
650,38316
651,38317
652,38318
653,38320
654,38321
655,38324
656,38326
657,38327
658,38328
659,38329
660,38330
661,38331
662,38332
663,38333
664,38334
665,38336
666,38337
667,38338
668,38339
669,38340
670,38341
671,38342
672,38343
673,38344
674,38345
675,38346
676,38347
677,38348
678,38351
679,38352
680,38355
681,38356
682,38357
683,38358
684,38359
685,38361
686,38362
687,38363
688,38365
689,38366
690,38367
691,38368
692,38369
693,38370
694,38371
695,38372
696,38374
697,38375
698,38376
699,38377
700,38378
701,38379
702,38380
703,38381
704,38382
705,38387
706,38388
707,38389
708,38390
709,38391
710,38392
711,38393
712,38401
713,38402
714,38425
715,38449
716,38450
717,38451
718,38452
719,38453
720,38454
721,38455
722,38456
723,38457
724,38459
725,38460
726,38461
727,38462
728,38463
729,38464
730,38468
731,38469
732,38471
733,38472
734,38473
735,38474
736,38475
737,38476
738,38477
739,38478
740,38481
741,38482
742,38483
743,38485
744,38486
745,38487
746,38488
747,38501
748,38502
749,38503
750,38504
751,38505
752,38506
753,38541
754,38542
755,38543
756,38544
757,38545
758,38547
759,38548
760,38549
761,38550
762,38551
763,38552
764,38553
765,38554
766,38555
767,38556
768,38557
769,38558
770,38559
771,38560
772,38562
773,38563
774,38564
775,38565
776,38567
777,38568
778,38569
779,38570
780,38571
781,38572
782,38573
783,38574
784,38575
785,38577
786,38578
787,38579
788,38580
789,38581
790,38582
791,38583
792,38585
793,38587
794,38588
795,38589
